id,summary,start,end,location
ADE6050726f6a65745f323032332d323032342d37353535392d302d30,TD Production et distribution d'air comprimé Optim (quattrone),20240320T073000Z,20240320T093000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d35393132332d302d3231,Atelier Écriture,20240321T120000Z,20240321T140000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d34393535322d302d30,EnR -TD1,20240321T073000Z,20240321T093000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d34393536392d302d39,Hydraulique et aéraulique TD1,20240322T093000Z,20240322T113000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d3133373533312d302d30,ds management d'activités,20240322T123000Z,20240322T140000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d34393532302d302d31,Thermodynamique TPA,20240322T123000Z,20240322T163000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d38323036352d302d30,R401 Archi Log (DS),20240320T080000Z,20240320T090000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d34393535332d302d31,EnR -TD2,20240322T073000Z,20240322T093000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d34333531342d302d30,Circuits électriques DS,20240319T093000Z,20240319T113000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d34393535332d302d30,EnR -TD2,20240321T093000Z,20240321T113000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d37313935362d302d33,TD Conditionnement d'air Real,20240318T093000Z,20240318T113000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d35353530342d302d33,*Statistiques TD1,20240321T073000Z,20240321T093000Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d3133373533322d302d30,ds management d'activités,20240322T140000Z,20240322T153000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d34333530362d302d3138,Mathématiques TD1,20240322T073000Z,20240322T093000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d39383230322d302d30,SAé 4.03 Réal sout TPC,20240321T083000Z,20240321T113000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d37313730372d302d30,DS - Probabilités/Statistiques - S2,20240321T070000Z,20240321T080000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d3130313737352d302d32,Toxi-infections alimentaires - CM - S2,20240320T074500Z,20240320T091500Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d31313636352d302d32,An. PB,20240320T093000Z,20240320T113000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d3131363239302d302d32,TD Management,20240319T073000Z,20240319T093000Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d39353936392d302d31,Calculs d'échangeurs - TD - S2-B,20240319T141500Z,20240319T154500Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d34393537312d302d39,Hydraulique et aéraulique TD2,20240320T073000Z,20240320T093000Z,GT0.02
ADE6050726f6a65745f323032332d323032342d31313339342d302d33,Med.,20240322T093000Z,20240322T113000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d35393635342d312d30,Saé 2.02 TPC,20240320T124500Z,20240320T164500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d35393635342d312d30,Saé 2.02 TPC,20240320T124500Z,20240320T164500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d34333530352d312d30,Communication TD2,20240321T073000Z,20240321T093000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d35373934352d302d35,TD Organisation et planification (Koussinsa),20240320T073000Z,20240320T093000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d34393636302d372d30,Communication TD1,20240321T093000Z,20240321T113000Z,GT0.01
ADE6050726f6a65745f323032332d323032342d37313934372d302d34,TD  Conditionnement d'air Optim,20240319T073000Z,20240319T093000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d33323339302d302d30,Solaire DS,20240319T073000Z,20240319T093000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d38373336342d312d30,R404 Meth. d'opt (DS 1/3 temps),20240318T110000Z,20240318T113000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d37333234342d302d30,TD Production et distribution de vapeur Real (Quattrone),20240321T073000Z,20240321T093000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d38323132382d302d30,R401 Archi Log (DS 1/3 temps),20240320T073000Z,20240320T080000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d39363037352d302d31,Calculs d'échangeurs - TD - S2-C,20240320T124500Z,20240320T141500Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d39383937372d31382d30,UE6,20240318T093000Z,20240318T113000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d39353936392d302d30,Calculs d'échangeurs - TD - S2-B,20240318T154500Z,20240318T171500Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d39363631392d302d30,DS - Thermo 1 (calorimétrie  principe 1) - S2,20240322T120000Z,20240322T130000Z,Salle DS
ADE6050726f6a65745f323032332d323032342d35373934352d302d34,TD Organisation et planification (Koussinsa),20240320T093000Z,20240320T113000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d37333039332d302d31,TD Production et distribution de vapeur Optim (Quattrone),20240320T093000Z,20240320T113000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d3130313737352d302d33,Toxi-infections alimentaires - CM - S2,20240321T083000Z,20240321T100000Z,Amphithéâtre Bresse-Revermont
ADE6050726f6a65745f323032332d323032342d37353537392d302d31,TD Production et distribution d'air comprimé Real (Quattrone),20240321T093000Z,20240321T113000Z,GT0.08
ADE6050726f6a65745f323032332d323032342d39353936322d302d31,Calculs d'échangeurs - TD - S2-A,20240320T094500Z,20240320T111500Z,GT 0.03
ADE6050726f6a65745f323032332d323032342d3131363239302d302d31,TD Management,20240318T073000Z,20240318T093000Z,GT 0.03
